_skip,.group.element.code,,,,.group.element.target.code,.group.element.target.display,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+,,4073,,65568007,Cigarette smoker,405746006,Current non smoker but past smoking history unknown,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,4062,,160620009,Ex-pipe smoker,702979003,Never used tobacco,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:Yes __ TobaccoUse:Quit,,4024,x,228493008,Ex-snuff user,266927001,Tobacco smoking consumption unknown,,,
,"Chew:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,3931,,65568007,Cigarette smoker,266919005,Never smoked tobacco,,,
,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,3850,,702975009,Ex-tobacco user,8517006,Ex-smoker,,,
,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,3704,,81703003,Chews tobacco,43381005,Passive smoker,,,
,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,3670,,281018007,Ex-cigarette smoker,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,3664,,65568007,Cigarette smoker,110483000,Tobacco user,,,
,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,3512,,702975009,Ex-tobacco user,702975009,Ex-tobacco user,,,
,Chew:No __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,3464,,8517006,Ex-smoker,,,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,3393,,456711000124105,Former smokeless tobacco user,65568007,Cigarette smoker,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes,,3312,,65568007,Cigarette smoker,281018007,Ex-cigarette smoker,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,3291,x,82302008,Pipe smoker,,,,,
,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,AS: Contradiction?  What to pick?,3189,,,,81703003,Chews tobacco,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,3107,,702975009,Ex-tobacco user,228513009,Ex-tobacco chewer,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes,,3089,,456711000124105,Former smokeless tobacco user,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,3074,,702975009,Ex-tobacco user,,,,,
,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,3006,,8517006,Ex-smoker,713914004,User of smokeless tobacco,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,2876,,59978006,Cigar smoker,456711000124105,Former smokeless tobacco user,,,
,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,AS: contradiction,2851,,,,,,,,
,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,2837,,8517006,Ex-smoker,59978006,Cigar smoker,,,
,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes,,2823,,81703003,Chews tobacco,160621008,Ex-cigar smoker,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,2813,,713914004,User of smokeless tobacco,,,,,
,Chew:Yes __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,2549,,702975009,Ex-tobacco user,160620009,Ex-pipe smoker,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,AS: clearly a cigarette user but top question is negative. ,2546,,65568007,Cigarette smoker,82302008,Pipe smoker,,,
,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,2534,,65568007,Cigarette smoker,228493008,Ex-snuff user,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,2529,,65568007,Cigarette smoker,228494002,Snuff user,,,
,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes,,2500,,65568007,Cigarette smoker,,,,,
,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:0,AS: similar as above issue,2488,,65568007,Cigarette smoker,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0,,2416,,65568007,Cigarette smoker,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Quit,,2354,,281018007,Ex-cigarette smoker,,,,,
,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,2342,,65568007,Cigarette smoker,,,,,
,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes",,2303,,65568007,Cigarette smoker,,,,,
,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit,,2256,,81703003,Chews tobacco,,,,,
,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,2251,,281018007,Ex-cigarette smoker,,,,,
,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes,,2247,,65568007,Cigarette smoker,,,,,
,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,2177,,65568007,Cigarette smoker,,,,,
,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,2100,,281018007,Ex-cigarette smoker,,,,,
,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,2042,,65568007,Cigarette smoker,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:0,,1999,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes",,1978,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,1975,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1957,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0,,1948,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ Tobacco use __ TobaccoUse:Never,,1936,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes,,1929,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes,,1923,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,1922,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,1846,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1817,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1757,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1730,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1714,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1693,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1671,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes",,1640,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1635,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1612,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,1607,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,,1598,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit",,1586,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes,,1573,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,1573,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1560,,228513009,Ex-tobacco chewer,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:+,,1546,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1540,,228513009,Ex-tobacco chewer,,,,,
x,"Chew:No __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit",,1537,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1530,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No",,1495,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,1480,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,1477,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ Tobacco use __ TobaccoUse:Yes",,1475,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:0,,1448,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,1442,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,1437,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes,,1435,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive __ TobaccoUseInYears:+,,1431,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,1422,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never __ TobaccoUseInYears:+,,1386,,,,,,,,
x,"Chew:No __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never",,1378,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1372,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes,,1371,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:Yes __ TobaccoUse:Quit,,1357,,228513009,Ex-tobacco chewer,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes",,1344,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1282,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1277,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1262,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:Yes __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1247,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes,,1242,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes,,1235,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit,,1218,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Never,,1215,,,,,,,,
x,Chew:No __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit,,1158,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Quit,,1139,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Yes __ TobaccoUseInYears:+",,1090,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:Yes __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:+,,1043,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes,,1028,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,1023,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ SmokingTobaccoUse:Never Smoker __ Snuff:Yes __ TobaccoUse:Never,,1022,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,1009,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:0",,994,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:Yes __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,987,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes,,973,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ Tobacco use __ TobaccoUse:Quit,,966,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Quit,,961,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ SmokingTobaccoUse:Never Smoker __ Snuff:No,,958,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+,,954,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:Yes __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes __ TobaccoUseInYears:+",,939,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:Yes __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes,,938,,,,,,,,
x,Chew:Yes __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Passive Smoke Exposure - Never Smoker __ Snuff:No __ TobaccoUse:Passive,,935,,,,,,,,
x,Chew:No __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Unknown __ Snuff:No __ Tobacco use __ TobaccoUse:Yes,,910,,,,,,,,
x,Chew:Yes __ Cigarettes:Yes __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Former User __ SmokingTobaccoUse:Never Smoker __ Snuff:No __ TobaccoUse:Quit,,902,,,,,,,,
x,"Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Former User __ Snuff:No __ TobaccoUse:Yes",,901,,,,,,,,
x,Chew:Yes __ CigarettePacksPerDay:+ __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Current User __ Snuff:No __ TobaccoUse:Quit,,897,,,,,,,,
x,Chew:No __ Cigarettes:No __ Cigars:No __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Quit __ TobaccoUseInYears:0,,894,,,,,,,,
x,"Chew:No __ CigarettePacksPerDay:0 __ Cigarettes:Yes __ Cigars:No __ Nicotine dependence, cigarettes, uncomplicated __ Pipes:No __ SmokelessTobaccoUse:Never Used __ Snuff:No __ TobaccoUse:Yes",,894,,,,,,,,
